Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Assistant to the Management (m/f/x),RECOM Power GmbH,Bangkok,Other,Full time,,,"TASKS: Front desk work incl. telephone service and mail organization Administrative support for management and colleagues (e.g. business trip planning, preparation of presentations) Interface to accounting (invoice verification and digitization) Interface to the HR department (e.g. administrative agendas and event planning) Any clarifications with suppliers (delivery bills, bank details, credit note request, delivery) General organization of the location (replenishment of consumables, e.g. coffee) Visitor hospitality REQUIREMENTS: Commercial background (bachelor or equivalent) Job-related knowledge in assistant functions, ideally in project management Friendly, stress-resistant personality Organizational talent and service-oriented way of working Very good written and spoken English skills Good knowledge of MS Office and Outlook Conscientious, responsible work in administrative activities WE OFFER: Interesting and diverse tasks in an international technology group Long-term position at a reliable company An appreciative and supportive team as well as flat hierarchies A corporate culture that makes it possible to develop personally and professionally and to contribute ideas Excellent working atmosphere with start-up spirit Attractive salary package"
Accountant Officer/พนักงานฝ่ายบัญชี,Sense Asia,"Khlong San, Bangkok",Taxation,Full time,16000,24999,Job Responsibilities รวบรวมเอกสารทางบัญชีทั้งหมดของบริษัท จัดทำบันทึก รายรับ และ รายจ่ายต่างๆของบริษัท ออกใบรายการภาษีมูลค่าเพิ่ม ภาษีเงินได้หัก ณ ที่จ่าย และภาษีอื่นๆที่เกี่ยวข้อง ออกใบเรียกเก็บเงินกับคู่ค้า และติดตามผลลัพธ์จนเสร็จสิ้น จัดทำรายงานการเงินที่จำเป็นต่างๆ เสนอต่อฝ่ายบริหาร ลงบันทึกรายการบัญชีต่างๆ ในโปรแกรมสำเร็จรูป จัดเตรียมเอกสารต่างๆ ที่จำเป็นเพื่อการตรวจสอบบัญชีประจำเดือน และ ประจำปี Qualifications: จบการศึกษา ปริญญาตรี สาขาบัญชี ประสบการณ์ทำงานอย่างน้อย 1-2 ปี มีความสามารถในการสื่อสาร ภาษาอังกฤษได้ดี มีความสามารถในการใช้งาน คอมพิวเตอร์ และโปรแกรมสำเร็จรูปบัญชี มีความสามารถในการอ่าน เขียน และจัดทำรายงานทางการเงิน
Accountant/พนักงานบัญชี,James Precision Ltd.,"Mueang Samut Prakan, Samut Prakan",Management Accounting & Budgeting,Full time,,,"Perform routine bookkeeping functions including purchasing, inventory, accounts receivable, accounts payable, and payroll.  Assist management and James Tool accounting support in preparing an accurate accounting of financial transactions.  Work with the outside accounting firm to prepare accurate VAT tax returns, payroll returns, tax returns and financial statements. Requires at least a two year degree in accounting and 2-4 years of experience in the field or in a related area. Familiar with Thai accounting, particularly VAT and withholding rules. Responsibilities: Prepare and enter purchase orders, receive ordered items into computer program, and close out purchase orders.  Be sure all appropriate documents are attached to PO’s and required documents are forwarded promptly to outside accounting or JT support. Prepare invoices for processing of accounts payable.  Pay invoices with checks entered into the computer system (actual payment occurs by wire).  Correctly assign general ledger account codes. Help maintain raw material, work-in-process and finished goods inventory. Prepare and maintained fixed asset information to be sent to outside accountants. Prepare invoices for shipments of product.  Record payments received. Support month-end and year-end close process Requirements: Thorough knowledge of basic Thai accounting procedures and principles Experience with general ledger functions and the month-end/year end close process Excellent accounting software user and administration skills Accuracy and attention to detail Aptitude for numbers and quantitative skills Accountant top skills & proficiencies: Accounting Attention to Detail Deadline-Oriented Confidentiality Time Management Data Entry Management Basic Math Accuracy Planning and Organizing Scheduling and Monitoring Communication Skills Initiative Teamwork"
Accounts Payable,"Garena Online (Thailand) Co., Ltd./ Sea Thailand","Din Daeng, Bangkok",Other,Full time,,,"Roles and responsibilities Manage daily operations of accounting transaction and process Prepare and work in accountant payment Record accounting transaction into system properly Prepare account and intercompany reconciliation to make sure all the outstanding balances are accurate and follow up timely Perform tasks relevant to company taxation (e.g. VAT, WHT and etc.) Manage account closing Prepare A/P invoice to both internal and external customers Follow up and Collect Outstanding Accounts Payment Perform other related tasks as assigned Qualifications Bachelor’s Degree in Accounting Experience 0-2 Years, Fresh graduates are also welcome Fast learning, responsible, positive attitude and self-enthusiasm Good interpersonal skill Strong computer literacy in MS Office Knowledge in ERP system especially Oracle Fair in both spoken and written English Office Location: AIA Capital Center Ratchada (Monday-Friday)"
Tax Talent Program 2024,KPMG Phoomchai Audit Ltd.,"Sathon, Bangkok",Taxation,Full time,,,"Introducing KPMG Tax Talent Program! #2nd batch 📢 If you are a fresh graduate and looking for an opportunity to expand your Tax career, come and join our ""KPMG Tax Talent Program 2024"". 📌 Registration opens from now until 21st January 2024. To apply click https://bit.ly/KPMGTaxTalentProgram2024 [link removed] #KPMGTaxTalentProgram #FindOpportunityEverywherewithKPMG #KPMGinThailand Program Overview 15-months program Hands-on rotations within Tax Services Intensive professional trainings and mentorship Fast track promotion Competitive pay scheme Required Qualifications Bachelor or Master degree in Accounting, Business Administration, Economics, Law or related fields 0-2 years of working experience Excellent command of English Timeline Application period : Now – 21st Jan 2024 Assessment day : 3rd / 4th Feb 2024 Announcement period : Mid of Feb 2024"
Accountant (Contract 6-Months),KDDI (THAILAND) LTD.,"Pathum Wan, Bangkok",Financial Accounting & Reporting,Contract/Temp,,,KDDI looking for potential candidate for accountant officer (6-months contract). Responsibilities Able to work at office near BTS Ploenchit in working hours (08:30 - 17:30 HR.). Able to use MAC-5 program to input data and transactions. Able to use MAC-5 program to do journal voucher. Classified documents and Document Management under assigned. Qualifications Able to communicate via English and Thai Language. Good command in Microsoft Office Format. Experienced in accounting field. Experienced in MAC-5 Program will be advantages. Ability to work as team and coordinate with each other. Ref No. 21
เจ้าหน้าที่บัญชี,"SHOWNOLIMIT CO., LTD.","Phra Khanong, Bangkok",Taxation,Full time,,,"คุณสมบัติผู้สมัคร วุฒิการศึกษา ป.ตรี สาขาบัญชี มีประสบการณ์ทำงานบัญชีอย่างน้อย 0-2 ปีขึ้นไป มีทัศนคดิที่ดี มีความซื่อสัตว์ มีความละเอียดรอบคอบในการทำงาน และมีความรับผิดชอบต่อหน้าที่ มีความสามารถในการใช้โปรแกรมบัญชี peak และโปรแกรมคอมพิวเตอร์อื่นๆ ได้เป็นอย่างดี หากขับรถยนต์ได้  และมีรถยนต์ส่วนตัว จะพิจารณาเป็นพิเศษ รายละเอียดงาน จัดทำบัญชีรายรับ - รายจ่าย และสรุปยอดประจำเดือน บันทึกบัญชีสรุปยอดในรายงานภาษีซื้อ-ขาย จัดทำรายงานภาษีซื้อ-ขาย ภพ.30, ภงด.1,3,53 และภาษีที่เกี่ยวข้องอื่น พร้อมยื่นแบบรายงานต่อกรมสรรพากร จัดทำบันทึก ตรวจสอบความถูกต้องของการทำบันทึกรายการในระบบโปรแกรมบัญชี พร้อมทั้งดูแลจัดเก็บเอกสารบัญชีที่เกี่ยวข้อง ติดต่อประสานงานกับลูกค้า และหน่วยงานอื่นๆ ที่เกี่ยวข้อง"
Accounting Staff - Accounts Payable (AP),Finansia Syrus Securities Public Company Limited,"Pathum Wan, Bangkok",Financial Accounting & Reporting,Full time,,,"Responsibilities Ensuring that accounting records are well prepared and maintained in accordance with the company’s accounting policies and related accounting principles such as TFRS16 , transfer pricing , double taxation and Fixed asset are a much. Prepare month-end and analysis of closing reporting, and control account reconciliation. Prepare monthly, quarterly, half year and year end for financial package reports to deliver the accurate results within timeline. Ensuring calculations of all types of tax submission to the Thai Revenue Department. Coordinate with company auditors, and other government related to accounting and tax matters Manage the team for all of tasks of the accounting operation Improve systems and procedures and initiate corrective actions Qualification Bachelor Degree in Accounting Minimum 3 years experiences in Account payable, Tax and month-end closing at manager level. (Having experience in securities business will be advantage.) Strong skills in using MS Excel and other related program. Experience working with ERP Accounting software Good command of written and spoken English Attention to detail and able work well under pressure to required deadlines Able to work under pressure and high level of self-motivation & adaptability. Proactive, positive and can do attitude. Workplace : Mint Tower ( Map https://goo.gl/maps/jZ7UCLwVUPjdu6Gx8 [link removed] )"
AP Accountant & Administrative,JAC Recruitment Thailand,"Khlong Toei, Bangkok",Taxation,Full time,,,"Our client is an international chemical industry. They are looking for a potential candidate to join their new office in Bangkok. Jos description: Key bank statements into SAP system on daily basis. Prepare/ collective/ accumulate/ all concerned for Payment Voucher. Check and follow up all invoices. Open PO into SAP System for approval. Prepare summary payment report for approval and further management. Issue withholding tax certificate. Post Service Entry/ MIRO/ Outgoing payment into SAP. Accumulate and prepare Receiving Voucher from CS. Report on Daily Report for daily transactions. Report monthly withholding tax and VAT to the Revenue Department. Report monthly Logistics report. Report monthly stock movement and import report to the Ministry of Commerce. Reconciliation monthly inventory. Filing monthly Payment Voucher, Receiving Voucher, Withholding Tax Report. Purchasing all office supply. Leason with building(office) management. Follow up pending documents to complete full set of documents. Qualifications Fluent in Thai and fluent in English 1-2 years' experience working preferably in a global company. BA degree in Finance, Accounting or Economics. Knowledge of statutory legislation and regulations. Background and hands-on experience in accounting principles. Hands-on background in working in SAP environment (FI, SD, and MM modules) Interested candidate, please send your resume in English (Word format only) along with your recent photo and expected salary to us by E-mail JAC Personnel Recruitment Ltd 10F Emporium Tower  622 Sukhumvit Soi 24 Klongton, Klongtoey, Bangkok 10110 Contact : K.Unyanin Office Number: 02-261-1270 Time: 9.00 am - 6.00 pm Website : https://www.jac-recruitment.co.th [link removed]"
Accounting Staff,"Siam Bheasach Co., Ltd.","Chatuchak, Bangkok",Taxation,Full time,,,หน้าที่และความรับผิดชอบ ตรวจสอบความถูกต้องของเอกสารทางบัญชี บันทึกรายการทางบัญชี-การเงินในระบบบัญชี จัดทำรายงานด้านบัญชีและภาษี ดูแล จัดทำ/เก็บเอกสารทางบัญชี งานธุรการบัญชี และอื่นๆตามที่ได้รับมอบหมาย คุณสมบัติ วุฒิการศึกษาระดับปริญญาตรี สาขาบัญชี ประสบการณ์ไม่ 0-3 ปี (ยินดีรับนักศึกษาจบใหม่) สามารถใช้คอมพิวเตอร์โปรแกรม (Microsoft Office) ได้ มีความขยัน และ ซื่อสัตย์ อดทน รอบคอบ มีความรับผิดชอบ มีการสื่อสารที่ดีและมีทักษะด้านความสัมพันธ์ที่ดีกับพนักงานทุกระดับ มีความคิดเชิงบวกและยินดีที่จะยอมรับการเรียนรู้และพัฒนาสิ่งใหม่ๆ
Accountant/พนักงานบัญชี,"Smart Trade Publication Co., Ltd.","Pak Kret, Nonthaburi",Taxation,Full time,,,รายละเอียดงาน จัดทำบัญชี และรายงานการเงินรายเดือนตามกระบวนการและมาตรฐานทางบัญชี ดูแลระบบบัญชีภายในรายรับ รายจ่าย ที่เกิดขึ้นภายในบริษัทอย่างถูกต้อง จัดทำรายงานปิดงบประจำเดือน เช่น บัญชีคงค้าง บันทึกรายการประจำวัน จัดทำงบกระแสเงินสดประมาณการและคาดการณ์สำหรับบริษัท ตรวจสอบการจัดทำบัญชีการเงินให้เป็นไปตามมาตรฐานทางบัญชี ประสานงานกับลูกค้า Supplier วางแผนการจัดส่ง และตามเอกสารต่างๆ จัดทำเอกสารด้านภาษี และประกันสังคม งานอื่นๆ ที่ได้รับตามมอบหมาย คุณสมบัติ วุฒิปริญญาตรี หรือเทียบเท่าในสาขาที่เกี่ยวข้อง มีประสบการณ์ทำงานบัญชีหรือการเงิน 1-2  ปี มีประสบการณ์การใช้งาน Microsoft Office และโปรแกรมพื้นฐานทางบัญชี มีความรู้ความเข้าใจเรื่องมาตรฐานทางบัญชีเป็นอย่างดี มีทักษะการจัดการและบริหารเวลาเป็นอย่างดี สามารถทำงานได้ จันทร์ - ศุกร์ เวลา 9.00 - 18.00 น. สวัสดิการ ประกันสังคม ประกันอุบัติเหตุ กองทุนสำรองเลี้ยงชีพ วันหยุดตามปฏิทิน โบนัสประจำปี ตามผลประกอบการ ท่องเที่ยวประจำปี สถานที่ปฎิบัติงาน: เมืองทองธานี ที่ตั้ง 226/27 ชั้น 1 อาคารริเวียร่า 2 ถนนบอนด์สตรีท ตำบลบางพูด อำเภอปากเกร็ด จ.นนทบุรี 11120
Internal Audit VP (at MBK Internal Audit Company Limited)...,MBK Public Company Limited,"Pathum Wan, Bangkok",Audit - Internal,Full time,,,กำหนดกลยุทธ์งานตรวจสอบ โดยให้สอดคล้องกับวัตถุประสงค์และกลยุทธ์ของบริษัทและบริษัทในเครือ วางแผนการตรวจสอบประจำปี ควบคุมและกำกับดูแลการปฏิบัติหน้าที่ของฝ่ายตรวจสอบภายในให้สำเร็จตามแผนงานและเป้าหมาย วางแผนและพิจารณาแนวทางการตรวจสอบ รวมถึงวิเคราะห์และประเมินระบบการควบคุมภายใน การประเมินความเสี่ยง การกำกับดูแลกิจกรรมที่ตรวจสอบ ให้คำปรึกษาแนะนำต่างๆเกี่ยวกับการตรวจสอบแก่ผู้บริหารของหน่วยงาน บริษัทที่รับการตรวจสอบ ผู้ใต้บังคับบัญชาในการปฏิบัติงานตรวจสอบ งานอื่นๆ ที่ได้รับมอบหมาย คุณสมบัติผู้สมัคร ปริญญาตรีขึ้นไป สาขาการบัญชี หรือสาขาอื่นที่เกี่ยวข้อง มีประสบการณ์บริหารงาน 10 ปีขึ้นไป ทางด้านการตรวจสอบภายใน หรือด้านที่เกี่ยวข้อง มีความรู้ด้านบริหารความเสี่ยงของการตรวจสอบภายใน มีความรู้ด้านบัญชี การเงิน และการวิเคราะห์งบการเงิน มีความสามารถในการวิเคราะห์กระบวนการทำงาน การประเมินความเสี่ยง การกำกับดูแลกิจการ
Collection Manager / Credit Control Manager,"Cartrack Technologies (Thailand) Co., Ltd.","Bang Na, Bangkok",Accounts Receivable/Credit Control,Full time,,,"Responsibilities Coordinate and manage daily collections tasks in a timely manner. Setting payment collection goals and targets for the department. Analyze customer data to develop strategies to reduce delinquent accounts. Implementing collection policies and procedures to avoid excessive outstanding credit. Collaborate with internal teams, including sales, customer care, and finance, to ensure accurate billing and resolve payment disputes. Manage and motivate a team of debt collectors, providing guidance, coaching, and training as needed. Monitor team performance and provide regular feedback, including performance reviews and corrective action when necessary. Continuously evaluate and improve the collections process to ensure effectiveness and efficiency. Qualifications Bachelor Degree in Finance, Accounting or similarly related field Experienced managing team or coaching/guiding new hire junior or colleague is required. Fluent in English Communication skills. (English Interview with foreign Country Manager) Experienced 5 years in Data analysis, Credit Risk Management, Credit Control Management Computer skills (Microsoft Word, Excel.) Analytical thinking and problem-solving skills, with the ability to analyze data, identify trends, and develop effective strategies Goal driven, with a positive attitude, attention to detail and the ability to motivate and lead others Work location : Near BTS Udomsuk"
Assistant / Accounting Manager/ผู้ช่วย / ผู้จัดการฝ่ายบัญชี,TURTLE 23 COMPANY LIMITED,"Sathon, Bangkok",Financial Accounting & Reporting,Full time,35000,54999,"Turtle 23 Co., Ltd. is a wholly-owned subsidiary of BTS Group Holdings PCL. We are a 360° service company that focuses on co-investment, management, and collaboration for the sustainable development of food & beverage related businesses as well as other related service businesses. We look to provide and offer complete functional solutions including marketing, management, operations, finance, Project Development, and human resources. Key Responsibilities -Complete the closing process of the monthly, quarterly, and annual Profit and Loss (P&L) and Balance Sheet (B/S) accounts accurately and thoroughly. -Make necessary adjustments to the accounting entries that need to be corrected following the closure of monthly, quarterly, and annual accounts. -Prepare the NFS (Net Financial Statements), package, and intercompany reconciliation for BTGS consolidation on a quarterly basis. -Prepare the Cognos system for quarterly reporting and submit it to BTSG. -Preparing Bank Reconciliation. -Review all tax filing; VAT (PP30), Withholding tax (P.N.D 1, 3, 53) -Assisting Director of Accounting in preparing financial statements. Qualifications and Skills -At least 5 - 7 years of experience in accounting & Finance field and have CPD Certificate. -Able to manage accounting tasks Closing the budget and certifying the monthly budget, annual budget. -Proficiency in SAP system (Hana Version) preferred or Expert in Accounting ERP would be advantage. -Leadership, Collaboration, Teamwork and Problem-Solving skills. -Able to manage accounting tasks Closing the budget and certifying the monthly budget, annual budget. -Able to communicate in English. -Proficient in Microsoft Office program especially Microsoft Excel Advance and Accounting Software. Benefit package -Bonus (According to performance) -Annual salary adjustment (according to performance and turnover) -Group Insurance -Provident fund (in the case that the work has passed probation) -Vacation benefits -Social Security Fund and Compensation Fund. Salary : 40 - 55 K."
Senior Accountant/นักบัญชีอาวุโส,Alconix (Thailand) Ltd.,"Bang Rak, Bangkok",Taxation,Full time,,,"-บันทึกบัญชีรายการค้าของบริษัทฯ -ลงบันทึกการรับชำระเงินและจ่ายเงินของบริษัทฯ -ดูแลติดตามการชำระเงินให้ตรงตามกำหนดเวลา -ติดตามประสานงานกับหน่วยงานภายในและภายนอก เช่น กรมสรรพากร แบงค์ Auditor -ควบคุมดูแล stock สินค้า -ปิดงบการเงินรายเดือน -ยื่นภาษีผ่าน อินเทอร์เน็ท ภงด 3,53,54,36,50,51 -มี CPD -มีความรู้ และ ทักษะ ทางด้านคอมพิวเตอร์ -หากมีประสบการณ์ทางด้าน โปรแกรม Sage 300 จะได้รับการพิจารณาเป็นพิเศษ -สามารถสื่อสาร ทางด้านภาษาอังกฤษ พอได้"
Assistant Accounting Manager/(Financial Service & Oversea Accounting),Rabbit Holdings Public Company Limited,"Chatuchak, Bangkok",Audit - Internal,Full time,,,"Rabbit Holdings Public Company Limited We are one of the leaders in the financial business, including global real estate. We are seeking motivated individuals who desire challenges and want to grow with us in the "" Assistant Manager – Accounting "" position. Financial Service & Oversea Accounting Key Responsibilities: Control and monitor accounting transactions to ensure accuracy, completeness, and timeliness of all financial activities. Perform detailed balance sheet reconciliations and review the overall balance sheet for accuracy and integrity. Review and analyze financial results, including income statements, cash flow statements, and financial ratios, and provide comprehensive financial analysis reports to management. Ensure conformity with professional accounting standards and best practices, including Thai GAAP and International Financial Reporting Standards (IFRS). Work closely with management and cross-functional teams to address complex accounting issues, provide guidance on accounting treatment, and support decision-making processes. Identify areas for process improvement, recommend and implement changes to enhance efficiency and effectiveness of accounting operations. Coordinate with external auditors throughout the audit process, ensuring timely completion and submission of required documents and information. Undertake ad-hoc reporting and analysis projects as assigned, providing valuable insights and recommendations based on financial data. Demonstrate expertise and experience in financial services, staying updated with industry trends, regulations, and best practices. Qualifications: Bachelor's degree or higher in accounting or a related field. Minimum of 3-5 years of experience in accounting operations or a minimum of 5 years of experience in auditing services. Prior experience in Big 4 audit firms, financial services would be an advantage. Familiarity with SAP systems or other enterprise resource planning (ERP) systems would be an advantage. Advanced Excel skills, Data analysis, and financial modeling. Strong knowledge of MS Office applications, with the ability to create insightful presentations and reports. Experience with Power BI to visualize and analyze financial data would be an advantage. Excellent command of the English language, both written and verbal, enabling effective communication with stakeholders at all levels."
เปิดรับบัญชีด่วน 1อัตรา/เปิดรับบัญชีด่วน 1อัตรา,sinsupdindee จำกัด,"Suan Luang, Bangkok",Taxation,Full time,,,"รับสมัครตำแหน่ง บัญชี (ด่วน!!!) 1 ตำแหน่ง พร้อมเริ่มงานพิจารณาเป็นพิเศษ #เน้นความซื่อสัตย์ขยันอดทน มีไหวพริบต่อการแก้ปัญหา บริษัท Sinsupdindee จำกัด สถานที่พัฒนาการ 44 ทำงาน :  จันทร์-ศุกร์ (เวลา 9.00-18.00 น.) หน้าที่ความรับผิดชอบ #มีประสบการณ์เกี่ยวกับการทำบัญชีด้านอสังหาและซื้อขาย 1. สรุปยอดขายประจำเดือน 2.#ยืนภาษี ภธ20 ภพ.30 ภพ.36 ออนไลน์ 3.#ยื่นภงด.3,ภงด53 ออนไลน์ 4. วางบิล-จ่ายเช็ค 5. ลงบันทึกบัญชีค่าใช้จ่ายประจำเดือน 6. ตรวจสอบเอกสารการจ่ายเงินก่อนจัดทำเช็คจ่าย 7. บันทึกการจ่ายเงินจากใบสำคัญจ่ายเช็คพร้อมกับตรวจสอบความถูกต้องของการบันทึกรายการ 8.จัดทำใบแจ้งหนี้ ใบกำกับภาษี ใบเสร็จรับเงิน รายได้อื่นๆ 9.จัดทำสรุปงบ.ประจำเดือน/ประจำปี 10.งานอื่นๆ ตามที่ได้รับมอบหมาย คุณสมบัติ ระดับการศึกษา : ปวช ปวสที่มีประสบการณ์เท่านั้น /ปริญญาตรี ประสบการณ์(ปี) : 1ปีขึ้นไป เงินเดือน : 15k-20k /แล้วแต่ตกลง ****หากมีประสบการณ์ด้านบัญชีและพร้อมเริ่มงานทันทีจะพิจารณาเป็น พิเศษ**** สนใจสมัครงานหรือสอบถามรายละเอียด ติดต่อ คุณควีน Tel: 0963569493 Line: 0936654264 เป็นID"
Sales Controlling and Commercial Coordination,Robert Bosch Limited,"Khlong Toei, Bangkok",Other,Full time,,,"Job Description Coordinate with sales: Checking/counselling sales business model and checking contract and quotation in commercial area. Finance Account Receivables Controlling: account receivable management, credit limit management and insolvency process Customer master data management: customer master data creation and maintenance. Sales order/Order management: customer order and forecast transfer to Bosch system, SAP, POE Price registration process: maintaining internal Bosch system. Supporting project: SAP S4HANA project. Qualification Bachelor’s degree or higher in Finance & Accounting or Supply Chain Management or Business Administration or any related field. 5 years of experience in commercial area. Strong communication, presentation, negotiation, problem-solving and relationship building skills. Good communication skills for both written and spoken in Japanese/English. Skilled SAP SD/FI module experience, Excel (Macro, visual basic). Having knowledge for Automation Anywhere, Power BI will be an advantage"
Senior Finance And Accounting Manager / Assistant Finance And Accounting...,Playpark Company Limited,"Suan Luang, Bangkok",Financial Accounting & Reporting,Full time,,,"Responsibility • Manage Accounting function to provide monthly, Quarterly and annual financial report • Monitor and control organization budget • Control the financial closing of the company on Microsoft Navision • System accurately and in time • Overall tax control, withholding tax, VAT, import duty • Monitor portfolio performance in term of collection, Overdue account collateral requisition • Provide training to subordinates on Finance & Accounting standard and process • Co-ordinate account closing with auditor • Record all pre-paid and accrued expenses into GL - Managing and controlling all aspects of monthly, quarter and year-end closing, and all matters related to book keeping (AP, A/R & G/L) and TB. • Ensuring all accounting transactions are accurately properly & promptly managed. • Prepare annual budgets based on department plans and company formats and summarize Department Plans and Budgets. • Oversee & Review AP/AR and GL transaction, including reconciliation and explanation of key movements. • Ensure the accuracy of monthly/Quarterly/yearly book closing and the daily operate accounting tasks. • Analyze monthly financial report (balance sheet, income statement, and cash flows) and create financial reports for management team. • Prepare and Monitor cash flow, accounts, and other financial transactions • Liaise with the internal/external auditor, bank, and other related regulators. Qualifications • Bachelor's degree in accounting or related field • 8 years’ experience in Accounting and over 4 years in Manager level • CPD license is required • Familiar with Microsoft Navision is a plus • Strong verbal/ written communication in both English/ Thai. • Strong people skill."
Accounting Officer,"UCT (ASIA) Co., Ltd.","Bang Rak, Bangkok",Financial Accounting & Reporting,Full time,35000,44999,"As an Accounting Officer, you will be a part of 3-people team. The Accounting Officer reports directly to the Director of Strategic Accounts. You have been ideally working in an accounting function. As an area of the business undergoing significant change, you must thrive in a fluid & evolving environment, be an engaging and approachable person who thrives in a team environment. Responsibilities : Perform accounting entries in Xero, our accounting  program. Record accounting transactions (AP) and related account reconciliations. Prepare a Statement of Account (SOA) weekly for all the Sales Team. Manage withholding tax in Xero program for the Domestic sales. Perform side tasks to support the team in a timely manner. Support report and data to the MD to perform financial analysis and audit. Qualifications / Experience: Minimum 2-3 years’ experience, preferably in an accounting function. Good knowledge and past experience on Xero. Strong communication skills with moderate levels in English (written & spoken) Excellent problem-solving, numerical and analytical skills. Thrives in a transformational / change management environment. Outcome-focused and team player. Professional “get it done” attitude and work ethic. Energetic and driven personality. Salary 25k to 35k depending on experience + group commissions + yearly bonus + pension fund + medical insurance Contact UCT (Asia) Co., LTD Harindhorn Building Level 2, 54 North Sathorn Road, 10500 Bangkok Contact: Mr. Sebastien Ducrot Website: www.uct-asia.com [link removed]"
Accounting Officer/พนักงานบัญชี,"The Planner Education Co., Ltd.","Pathum Wan, Bangkok",Management Accounting & Budgeting,Full time,20000,24999,บริษัท  เดอะ แพลนเนอร์ เอดดูเคชั่น จำกัด เป็นสถาบันเปิดคอร์สติวหลักสูตรนานาชาติ (US & UK) ให้กับเด็กนักเรียน 14-18 ปีเพื่อศึกษาต่อในมหาวิทยาลัยทั้งในประเทศไทยและต่างประเทศ FB/IG/Website: The Planner Education ตำแหน่ง: พนักงานบัญชี รายละเอียดงานและหน้าที่ความรับผิดชอบ จัดทำเอกสารบัญชีทั่วไป จัดทำเอกสารรายรับ รายจ่าย จัดทำเอกสารใบสำคัญรับเงิน ใบสำคัญจ่ายเงิน เอกสารประกอบการลงบันทึกบัญชี ใบวางบิล ใบแจ้งหนี้ ใบกำกับภาษี ใบลดหนี้ ประสานงานกับผู้อื่นและสำนักงานบัญชี คุณสมบัติ สามารถเริ่มงานได้เลยจะพิจารณาพิเศษ ไม่เกิน 30 จบป.ตรี ด้านบัญชี มีประสบการณ์การทำงานบัญชีอย่างน้อย 2 ปี สามารถใช้โปรแกรมบัญชีจะพิจารณาเป็นพิเศษ ใช้ MS OFFICE และ EXCEL ได้เป็นอย่างดี สามารถประสานงานกับผู้อื่นได้ สถานที่ทำงาน : สถาบัน The Planner Education เมอคิวรี่ วิลล์ ชิดลม (ติดบีทีเอส ชิดลม ทางออก 4) ผู้ที่สนใจ สามารถส่ง เรซูเม่+รูป และ เงินเดือนที่ต้องการ โดยกดที่ปุ่ม สมัครเลย ของ jobsdb หากคุณสมบัติของท่านตรงตามที่บริษัทต้องการ ทางบริษัทจะโทรไปนัดสัมภาษณ์ท่าน
