Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
PMO and Personal Assistant/เลขานุการ,United Overseas Bank (Thai) Public Company Limited (UOB),"Vadhana, Bangkok","PA, EA & Secretarial",Full time,,,"Job description; As a Secretary you will assume the duty of clerical and administrative support in order to optimize workflow procedures in the office. Be a point of reference for all queries, requests or issues and will be an integral part of the company’s workforce. Manage the daily/weekly/monthly agenda and arrange new meetings and appointments Prepare and disseminate correspondence, memos and forms Support and facilitate the completion of regular reports Develop and maintain a filing system Check frequently the levels of office supplies and place appropriate orders Make travel arrangements Qualifications; Bachelor’s in any field Proven work experience as a Secretary or PA to the senior executive and supporting team with planning and distributing information Good to excellent written and verbal communication skills in English Proficiency in Excel & PowerPoint Agility in work & action High degree of multi-tasking and time management capability Service-minded, Can-do attitude, Interpersonal skill, Integrity and Professionalism Experience in PMO and Project anagement is beneficial."
Administrative Assistant (Part-Time),FOREO (THAILAND) COMPANY LIMITED,Bangkok,Administrative Assistants,Part time,,,"Key activities and responsibilities: Office Management (Stationeries, Plants, Water, Coffee, Snacks etc.) Liaise with company vendors (Stationery Supplier, Cleaning Company) Receiving and Distributing Mail Translating and summarizing documents for management Hospitality service (meet, greet & service) for guests and visitors Maintaining diaries and arranging appointments Booking and processing bills and expenses related to management and office Maintain and coordinate regulatory affairs data (TISI/FDA/NBTC) Arranging and maintain company documents and files VISA and Work Permit support Company Car service On-boarding of new staff, coordinating equipment, stationeries and desks Company events and outings Coordinating Employee Training Travel desk – Travel and Accommodation support for business trips Other management assistant related tasks Requirements: Fluent in English and Thai (written and spoken) Priority Setting Integrity and Trust Self-Motivation Organizational agility MS Office & Google Apps (Sheets, Docs, Slides)"
Admin Staff,"REVER AUTOMOTIVE CO., LTD.","Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"Responsibility : Efficiently manage daily administrative operations to ensure smooth office functioning. Organize and prioritize tasks, including scheduling appointments and meetings. Handle communication channels, including emails, calls, and correspondence. Maintain accurate and well-organized filing systems for documents and records. Coordinate office supplies, equipment maintenance, and facility management. Support team members in administrative tasks and provide assistance as needed. Implement and improve administrative procedures for enhanced efficiency. Ensure confidentiality and integrity in handling sensitive information."
HR Officer – People Capability Development,BBGI Public Company Limited,"Phra Khanong, Bangkok",Administrative Assistants,Full time,,,"Key Responsibilities: Responsible for Employer Branding & recruitment projects, such as new graduate recruitment, road show, open house, walk-in interview, etc. Handle People Development processes includes collaborate with both internal and external instructor to promote and execute the development programs effectively, facilitate and evaluate the program as well as record training information into the HR system and issue monthly report. Establish and develop new learning methods such as online learning and micro learning to create flexibility in learning while maintaining its effectiveness. Initiate, execute, and develop Transfer of Learning into action to ensure the application of knowledge and skills acquired from the development program into their real jobs. Implement an Onboarding program for new recruits to accelerate performance delivery, enhance culture-fitting, build a sense of belonging and effective team bonding and networking at workplace, and embed AM BBGI culture and High-Performance Culture. Lead an on-time and in full execution of the Employee Engagement activities as per the master plan and including ad-hoc activities as deemed appropriate. Build a positive attitude and promote AM BBGI culture and good work environment to enhance employee engagement and work life’s balance. Produce contents and materials, including infographics, to communicate relevant employee engagement and communication programs and activities. Support initial content creative projects for Internal newsletters, collateral, digital content, video/photo shooting, and communication (i.e., emails, LINE, and Other Platform) Responsible for the overall performance and success of the Office Management and Facility service. Simplify working processes and develop tools to reduce administrative tasks. Qualifications: Bachelor’s degree in human resources management, Political Science, Psychology or related field. Minimum 3 years of working experience in Recruitment and People Development. Strong Working knowledge of recruitment principles processes and best practices Knowledgeable in Competency Based Development or 70:20:10 development model is preferable. Able to communicate in English in both writing and speaking. Computer-literate and have a good working knowledge of Microsoft Office Excel and PowerPoint. Proactive, Initiative, good analytical, interpersonal & communication skills. Able to address cross-functional and cross-organizational issues independently, including collaborating with teams from different organizations. Ability to work in a fast-paced, dynamic, Complexity, and High pressure. Possess “can do” attitude, entrepreneurial spirit, practical creativity, a strong determination & commitment to deliver results."
Butler and Personal Assistant for CEO/ผู้ช่วยส่วนตัวผู้บริหารระดับ CEO,"iiK Corporation / Interink.,Co.th/ Eternal Sakata Inx","Lat Phrao, Bangkok","PA, EA & Secretarial",Full time,,,"การได้ทำงานให้กับผู้บริหารที่เป็นเจ้าของกิจการโดยตรง ถือว่าเป็นโอกาสที่ดีที่จะได้เรียนรู้เรื่องของธุรกิจและเป็นกุญแจแห่งความสำเร็จที่ใกล้ชิดธุรกิจที่กำลังเติบโตและจะมีกำไรในระดับสองพันล้านในอนาคต  พร้อมๆไปกับการทำประโยชน์ให้กับสังคม โดยปรารถนาความเจริญทั้งทางโลกและทางธรรม คุณสมบัติสำคัญของผู้สมัคร - มี Growth Mindset แบบ Can Do Attitude มีทัศนคติที่ดี มีใจบริการและชอบที่จะทำงานบริการ ช่วยเหลือดูแลผู้อื่น - มีบุคลิกดี  มีไหวพริบ และมีความคล่องตัว มีความอดทนและรับมือต่อสถานการณ์ต่างๆ ได้ดี - มีทักษะในเครื่องมือสำนักงาน เครื่องมือทางเทคโนโลยี แอฟพิเคชั่นต่างๆ การทำ presentation  หรือ Graphic  และ MS office - สามารถเดินทางไปต่างจังหวัดกับเจ้านายได้ และขับรถได้ - มีทักษะในการดูแลคนในทุกระดับ ตั้งแต่ CEO และครอบครัวได้ - มีทักษะการสื่อสารที่ดี และหากสามารถใช้ภาษาอังกฤษได้จะถือว่าเป็นประโยชน์ สำหรับ ตำแหน่ง Butler มีความคล่องตัวในการติดตาม CEO ส่วน Personal Assistant มุ่งเน้นเรื่องการดูแล CEO ในด้านของงานทางสำนักงานและ เรื่องส่วนตัวต่างๆ ความคาดหวังต่อคุณสมบัติอื่นๆ 1.เก่งการบริหารจัดการ แก้ไขปัญหาเฉพาะหน้าเก่ง และความรอบรู้เชิงกว้าง ฉลาดในการหาและใช้ข้อมูลเพื่อให้ได้มาซึ่งสิ่งที่ต้องการ 2.ช่างเลือก ช่างสังเกต ทำงานละเอียดและจดจำได้ทุกอย่าง โดยเฉพาะสิ่งที่ชอบหรือไม่ชอบ พร้อมทั้งนำมาเรียนรู้และแก้ไขไม่ให้เกิดซ้ำ รวมถึงนำเสนอทางเลือกเพื่อให้เกิดประโยชน์สูงสุด 3.ฉลาดอย่างเดียวไม่พอต้องมีความเฉลียว หรือเราเรียกว่า ไหวพริบ 4.สื่อสารกับคนได้ทุกระดับ เพราะงานนี้ต้องกำกับ ดูแลแม่บ้าน รปภ ให้ทำงานได้มาตรฐาน รวมถึงวิ่งซื้อของพร้อมทั้งจัดการงานภายในบ้านให้เรียบร้อยอยู่เสมอ 5.มีความรู้เรื่องการจัดบ้าน ตามหนังสือ มาริเอะ คนโดะ และการจัดอาหาร  งานโภชนาการจะพิจารณาเป็นพิเศษ 6.ดูแล ประสานงาน อำนวยความสะดวกเรื่องในสำนักงานลาดพร้าว ในบ้าน CEO และบ้านของคุณแม่ CEO ได้อย่างเรียบร้อยและเป็นไปตามเป้าหมาย 7.จัดเตรียมงานหรือ event ที่เกิดขึ้นใน สำนักงานลาดพร้าว รวมถึงต้อนรับ ดูแล แขกที่เข้ามา 8.ตอบสนองได้ไว และเป็นคน Result Oriented และเข้าใจจุดร่วมตามวิถีทางของบริษัทที่เน้นการนำศาสตร์ทางวิทยาศาสตร์ พลังงานเวลา พลังงานตัวเลข ธรรมชาติ มาใช้ให้เกิดประโยชน์สูงสุดให้ทำแม่นผลลัพธ์สูง รวมถึงมองเป้าหมายเป็นที่ตั้ง 9.จัดสรรเวลาทั้งเรื่องงานและส่วนตัวได้เก่งกาจ เพราะงานนี้คืองานที่ต้องใช้ความเสียสละและทุ่มเทเป็นอย่างมาก 10.ฉลาด IQ สูง เพราะงานนี้ท่านทำงานกับ CEO ที่เป็นเจ้าของธุรกิจ ที่มีความ Genius ละเอียดละออ คาดหวังสูง วิสัยทัศน์ที่มองล้ำ ดังนั้นจึงมีวิธีคิดที่ยอกย้อน มองลึกกว่าคนธรรมดาหลายเท่า หรือที่เราเรียกว่า intuition หน้าที่ท่านต้องประมวลผลให้ไว และไปจัดการต่อได้โดยไม่ตกหล่นอย่างเร็วและมีคุณภาพ 11.แน่นอนว่าทำงานใกล้ CEO และครอบครัว ท่านต้องมี EQ สูงปรี๊ด เพราะท่านทำงานร่วมกับคนหลาย generation และมีความแตกต่างๆ กันด้วย ดังนั้นท่านจึงต้องสามารถรับภาวะความกดดันได้ทุกรูปแบบ 12.สามารถฟัง พูด อ่าน เขียน โต้ตอบ ภาษาอังกฤษได้/ สามารถสื่อสารภาษาจีนได้จะได้รับการพิจารณาเป็นพิเศษ 13. สามารถทำงานเอกสารต่างๆได้ 14.เตรียมตัวเป็นคนที่เก่งขึ้นและเจริญขึ้นทั้งทางโลกและทางธรรมในทุกวัน เพราะงานนี้คืองานที่ทรงคุณค่ามาก และท่านจะได้ใช้ศักยภาพของท่านอย่างเต็มที่แบบที่ไม่เคยได้จากที่ไหน!!!! ก่อนส่ง resume อยากให้คุณอ่านและดูวีดีโอ รวมถึงศึกษาข้อมูลด้านล่างให้แน่ใจก่อนว่าพร้อมไหม เพราะเราอยากได้คนที่ตั้งใจสมัคร ไม่อยากได้คนที่หว่านมาหวังฟลุ๊คเท่านั้น !! เราคือ กลุ่มบริษัท iiK Corporation ซึ่งประกอบด้วย บริษัท ETERNAL SAKATA INX CO., LTD. บริษัท INTERINK CO., LTD. บริษัท WORLD ONLINE MEDIA CO., LTD. บริษัท IIK ACTIVE HOLDING CO., LTD. บริษัท IIK NICE MARKET CO., LTD. บริษัท PAUL SELECTION CO., LTD. บริษัท PIPIT INDUSTRY CO., LTD. บริษัท PIPITCHEMICAL & ENGINEERING (1987) CO., LTD. ที่นี่ CEO ของเราเป็นผู้มีความล้ำสมัยในเชิงวิสัยทัศน์ที่โดดเด่น มุ่งเสริมสร้างแรงบันดาลใจแบบล้นหลามให้กับพนักงานอยู่เสมอ พร้อมให้โอกาสการเติบโตแบบก้าวกระโดด ที่พร้อม support ท่านในด้านต่างๆ ด้วยระดับ degree ทั้งทางโลก และ ทางธรรม CEO ของเรา ระดับดีกรี Top of the class with Distinction จาก University of London, Queen Mary college และเกียรตินิยมอันดับ 2 จากจุฬาลงกรณ์มหาวิทยาลัย รุ่นเก๋าไฟแรง ที่ได้บวชเพื่อศึกษาธรรมกับ พระอาจารย์ เยื้อน ขันติพโล ลูกศิษย์ หลวงปู่ดุลย์และได้ High performance award ระดับ Global Comparison. ท่านจะได้เรียนรู้ และทำงานกับทีมงาน professional จากองค์กรระดับ Top ของประเทศ และ global brand เช่น CP, Unilever และเครือ SCG ที่ไม่ได้มองแค่เรื่องเงินเดือน แต่มองเรื่องการมุ่งเจริญทั้งทางโลก และทางธรรม ในทุกมิติ ทุกด้าน ตามแต่เป้าหมายของแต่ละคน ในช่วงเวลานั้นๆ เราทำงานเพื่อพัฒนา Ordinary operators ให้เป็น Extraordinary operators เพื่อให้มีศักยภาพมากพอที่จะขึ้นมาเป็นระดับ A team player เพื่อ let people wonder what man/woman can accomplish!!!!!!!!! ใครไม่ถึงท่านก็ต้องกล้าพอที่จะประเมินอย่างเที่ยงธรรม เพื่อ Passion ของท่านที่จะได้พัฒนา culture และศักยภาพของคนในองค์กรของพวกเรา ทั้งด้าน Happiness of life และ Science of making money เพื่อ Higher purpose ของตัวท่านที่จะได้ทำงาน ที่ได้สั่งสมบุญ บารมีไปด้วย รู้จักผู้นำองค์กรของเรามากขึ้นจาก VDO Clip ด้านล่างนี้ครับ https://youtu.be/r_3rerot6to"
HR & GA ASSISTANT,Kenan Institute Asia,"Khlong Toei, Bangkok",Administrative Assistants,Full time,,,"WHO ARE WE Kenan Foundation Asia, a non-profit development organization working in partnership with companies, governments, academia, and committed individuals to empower people with the knowledge, technology, and skills necessary for a better future. ROLE DECRIPTION Kenan is seeking the position of HR & GA Assistant to assist HR team in HR operation such as coordinating for HR related schedule such as training and onboarding, assist in generating HR related report. As GA assistant, the role will focus mainly on managing office facilities, document management, process purchasing request and purchasing order, manage and oversee maid and drivers’ working schedule. This position will report directly to HR Manager. KEY RESPONSIBILITIES GA role: Handle purchasing process to verify and ensure accurate purchase requisitions/invoice and any other related document including prepare purchasing request and purchasing order (PR/PO) by verifying related document Manage post/mailing and office related clerical or other administrative tasks Organize and keep filing all documents including the project contracts/ vendor contract, as well as update them on the system database Ensure all legal documents and registration are in actively status and up-to-date including MOE consultant registration, Kenan’s registration and licenses Administer and process petty cash transactions and authorized petty cash payment Manage and maintain maid/drivers contract and drivers’ working hour and schedule HR Role: Assist in arranging HR related matters such as scheduling the training/orientation, booking the room, order lunch. Assist in generating HR report such as 360 assessment report, input of engagement report, etc Execution of renewal annual benefit e.g. annual health check-ups, group health & life insurance, and travel insurance Support employee engagement activities, set up agenda, develop media work such as video, photo shop, organize event, etc. Other HR administration duties as assigned SKILL AND ABILITIE Soft Skills: Organizational and time management skills Prioritization skill Interpersonal skill Collaboration skill Hard Skills: Administration Purchasing Computer graphic design Problem-solving and decision-making skills QUALIFICATION: Bachelor’s Degree in Human Resources, Business Administration, Psychology, Organizational Development, Public Administration, Social Sciences or other relevant field At least 3 years of direct experience in Administrative tasks, experience in non-profit organization is preferable Experience in staff and office management would be an advantage Demonstrated proficiency in result-driven to meet demands and deadlines, coupled with a multi-tasking skill and effectively collaborating across various stakeholders Resilient and able to thrive in a fast-paced, dynamic environment with a sense of urgency to deliver results under pressure Strong ability to handle confidential information professionally Proficient user of all Microsoft Office applications, office equipment and communications equipment Fluent in both Thai (native speaker) and English Interested applicants are invited to submit your full resume indicating qualifications and experience, and cover letter by ""Apply Now"" Please kindly note that all applications will be stored in Kenan’s system at least  for 1 year and will be kept strictly confidential. Kenan Foundation Asia 16th Floor, CTI Tower 191/64 Ratchadapisek Road, Klongtoey, Bangkok 10110, Thailand W:  www.kenan-asia.org T: +66 2-260-0380 F: +66 2-260-0388"
Customer Success Associate (Thai)/เจ้าหน้าที่ความสำเร็จของลูกค้า,"DailiTech Co., Ltd. (Head Office)","Khlong Toei, Bangkok",Administrative Assistants,Full time,,,"ภาพรวม Customer Success Associate จะเป็นผู้ที่จะช่วยจัดการธุรการและประสานงานเกี่ยวกับลูกค้า รวมถึงการดูแลลูกค้าในแง่มุมของลูกค้า สิ่งที่ลูกค้าขาดหรือว่าต้องการ ประชุมพร้อมกันกับทีมและลูกค้า รวมถึงหากลูกค้ามีปัญหาหรือความต้องการช่วยประสานงานกับทีมด้านหลังได้ เดลิเทคมองหาคนที่มีความชอบในงานเอกสาร ชอบงานประสานงาน เข้าใจในสิ่งที่ลูกค้าต้องการ สามารถเรียนรู้ระบบคอมพิวเตอร์หรือไอที ชอบเรียนรู้สิ่งใหม่ และมีการปรับตัวอยู่ตลอดเวลา มีความเข้าใจในทีมงาน มีพื้นฐานของการสื่อสาร มีความรับผิดชอบต่อสิ่งที่ได้รับมอบหมาย และทำงานได้อย่างเป็นระบบระเบียบ รายละเอียดเพิ่มเติม คุณจะได้ทำอะไร – บทบาทของคุณจะเกี่ยวข้องกับการดูแลลูกค้า การประชุมเพื่อทำความเข้าใจความต้องการของลูกค้าหรือให้ความช่วยเหลือเมื่อจำเป็น นอกจากนี้คุณยังจะต้องจัดการเอกสารที่เกี่ยวข้องกับลูกค้าและประสานงานต่างๆ เกี่ยวกับลูกค้า รวมถึงการสรุปการใช้บริการในรูปแบบของการนำเสนอ ทำไมงานนี้ถึงสำคัญ – เราต้องการให้มั่นใจว่าบริการที่เราให้แก่ลูกค้านั้นตรงกับความต้องการและเป็นสิ่งที่ลูกค้าต้องการจริงๆ นอกจากนี้เราต้องการให้แน่ใจว่าลูกค้าพึงพอใจกับสิ่งที่เราให้บริการ ไม่ว่าจะเป็นการดูแลหลังการขายหรือความต้องการที่เพิ่มขึ้น สิ่งนี้รวมถึงการจัดการเอกสารให้เป็นไปอย่างเป็นระบบ ถูกต้อง และรวดเร็ว นอกจากนี้คุณยังเป็นตัวกลางในการประสานงานกับทีมงานด้วย ความท้าทาย – เนื่องจากบริษัทของเราให้บริการทางด้านไอที การทำงานอย่างมีประสิทธิภาพจำเป็นต้องมีความเข้าใจในบริการคลาวด์และบริการของบริษัท ความรู้นี้มีความสำคัญในการประสานงานและติดตามงานได้อย่างรวดเร็วและแม่นยำ คุณสมบัติขั้นต่ำ ปริญญาตรีสาขาใดก็ได้ มีประสบการณ์เกี่ยวกับการทำงานประสานงาน สามารถใช้ภาษาอังกฤษได้ในการทำงาน คุณสมบัติพิจารณาเพิ่มเติม ปริญญาตรีหรือปริญญาโทที่เกี่ยวข้องกับด้านไอทีหรือคอมพิวเตอร์ มีความรู้พื้นฐานในด้านไอทีหรือคอมพิวเตอร์ มีประสบการณ์เกี่ยวกับการใช้ Microsoft Office ในการทำงาน คุณสมบัติส่วนตัว รักที่จะเรียนรู้และปรับปรุงตัวเองอยู่เสมอ มีความอดทนในการแก้ปัญหาที่เจอ ทำงานเป็นทีมและช่วยเหลือซึ่งกันและกัน พร้อมเปิดรับกับการเปลี่ยนแปลงของเทคโนโลยีและความคิด เพิ่มเติม กด Link นี้ เพื่อดูรายเอียดเพิ่มเติมเกี่ยวกับชีวิตการทำงาน [link removed] Overview A Customer Success Associate will be responsible for managing clerical work and coordinating customer-related tasks. This includes taking care of customers in terms of understanding their needs and requirements, arranging meetings with teams and customers, and coordinating with the back-end team if the customer faces any issues or has additional needs. DeliTech is looking for individuals who enjoy paperwork, coordination, understand customer needs, are able to learn computer or IT systems, are eager to learn new things, and are adaptable. Candidates should understand team dynamics, have basic communication skills, be responsible for their tasks, and be able to work systematically and organized. Additional details What You Will Do - Your role will involve customer care, meetings to understand customer needs or providing assistance when necessary. You will also handle customer-related documents and coordinate various customer-related activities, including summarizing service usage in the form of presentations. Why This Job is Important - We aim to ensure that our services align with and fulfill customer needs. Moreover, we want to ensure customer satisfaction with our services, whether it's after-sales care or meeting increasing needs. This includes managing documentation efficiently and correctly, and also acting as a liaison with the team. The Challenge - Since our company provides IT services, effective work requires an understanding of cloud services and our company's offerings. This knowledge is essential for efficiently coordinating and tracking tasks accurately and promptly. Minimum Qualifications Bachelor’s degree in any field. Experience in coordination work. Ability to use English in a work environment. Additional Qualifications Considered Bachelor's or Master's degree related to IT or Computer Science. Basic knowledge in IT or Computer Science. Experience using Microsoft Office for work. Personal Qualifications Loves to learn and continually improve. Patient in solving encountered problems. Works well in a team and supports each other. Open to changes in technology and ideas. Additional Information Click this link to learn more about working life. [link removed]"
Sales Support/ผู้ช่วยฝ่ายขาย,Bubblely Company Limited,"Chatuchak, Bangkok",Client & Sales Administration,Full time,,,"หน้าที่ความรับผิดชอบ : ติดต่อประสานงานกับทีมทั้งภายในและภายนอก ตรวจสอบรายละเอียดและคุณภาพของงาน ควบคุมระยะเวลาการทำงานให้อยู่ในขอบเขตที่กำหนด จัดทำรีพอร์ทของงาน ทำงานที่ได้รับมอบหมายได้เป็นอย่างดี อื่นๆ ตามได้รับมอบหมาย คุณสมบัติ : มีความละเอียด มีความรับผิดชอบ อดทน และทำงานที่ได้รับมอบหมายได้เป็นอย่างดี มีไหวพริบ สามารถทำงานภายใต้ความกดดัน และ แก้ปัญหาเฉพาะหน้าได้ดี สามารถใช้คอมพิวเตอร์ และโปรแกรม Microsoft ได้ ( Word,Excel,Power Point) พร้อมเปิดใจเรียนรู้ และพัฒนาตนเองอยู่ตลอดเวลา มีประสบการณ์สายงานสื่อโฆษณา , เอเจนซี่ , หรือการประสานงานจะพิจารณาเป็นพิเศษ คุณสมบัติเพิ่มเติม : ระดับการศึกษา : ปริญญาตรี ประสบการณ์(ปี) : 1 ปี Benefits : ประกันสังคม ประกันกลุ่ม (หากผ่านโปรแล้ว) Work from home ทุกวันศุกร์สิ้นเดือน Location  :  อาคารชินวัตร ทาวเวอร์ 3"
HR Office Admin and Support/ประสานงานภายนอก/ใน องกรณ์,"BIBIS BEAUTY GROUP CO., LTD.","Ratchathewi, Bangkok",Administrative Assistants,Full time,,,"Muse Clinic (เวชกรรมความงาม) We're looking for ""Office admin and support"". 16,000-25,000 bath or depend on your performance. Responsibility Manage the company facilities,maintain the equipment/assets Coordinate with government sector and suppliers for administrative task Manage office expenses and admin expenses reimbursement while keeping accurate records Provide daily admin service such as building access card management,mail and office facilities,stationery,business card,arranging for office space and necessary repairs Maintain a safe and pleasant office environment as well as the company environment and provide a clean and safe space for all employees and ensuring compliance with health and safety regulations Oversee relevant company documents Support souring and purchasing processes an existing and new alternative supplier for any required items Arrange monthly doctor's shift schedule Confirm and cancel doctor’s shift directly to the doctor and other departments that involved Organize doctor training schedules. Perform other duties assigned about doctor and company,other job that assigned by team ++ excellent skill with Canva and Google software or Microsoft office++ Qualifications Bachelor's degree in communication art or related field. At least 1 year experience in HR (Fresh Graduates are Welcome too) Having Experience in Beauty Clinic.(is a plus, is advantage) Taking Responsibility at Work. Having a Good Communication with coworkers,relevant authority,Government agencies Friendly , funny , nice person  and active with an excellent communication skill. Highly organized and detail oriented with the ability to prioritize multiple function skills If you are interested, send a resume and introduce yourself"
Personal Assistant (babiemiue)/เลขาผู้ช่วยส่วนตัว,BANGKOK SECRET HOME LIMITED,"Pathum Wan, Bangkok","PA, EA & Secretarial",Full time,,,"Responsibilities Arrange and oversee the executive's schedule and appointments. Coordinate with other departments and track ongoing tasks. Manage and organize important documents, including document preparation. Resolve specific issues as they arise and report to executives or concerned individuals. Carry out tasks directly given by the executives. Coordinate with relevant internal and external parties. Qualifications Minimum bachelor’s degree in business administration or any related field. Has a positive attitude, good personality, and a sense of responsibility. Skills in communication, problem-solving, self-motivation, presentation, and work management. Able to travel internationally and support the work of executives. Proficient in basic computer programs (Word, Excel, PowerPoint) and excellent in spoken and written English. Minimum experience: 1 year. Benefit AIA Accident Insurance Birthday Gift Opportunity to travel overseas Free Annual Medical Checkup 5 working days a week / Holiday on Sat-Sun Office hours: Monday - Friday / 9 AM - 6 PM Office location BTS ชิดลม Maneeya Center Building"
Sales Coordinator -  TechnoGym (Urgent),"Euro Creations Co., Ltd.","Vadhana, Bangkok","PA, EA & Secretarial",Full time,,,"Main Responsibilities: Assist operation and sales team for administrative works and coordinate for operation  flow i.e. delivery schedules and feedback clients activities. Responsible for document processing such as quotations, sales orders and etc. Ensuring that all administrative tasks are complete and that service requirements in showroom. Manage and follow up the correspondence between the customer  service team , operations team and their clients. Prepare and summarize the report weekly, monthly, or as assignments Qualifications: Bachelor's degree in Business Administration, Marketing, or related field. At least 2 years of experience in the field of administration, secretarial or operation suppport. Good command of English and Computer Literacy. Good communication skills, service mind, and high responsibility Can work well both independently and in a team. Effective communication and issue-solving abilities. Working Location : - Ekkamai   Showroom (near BTS Ekkamai) To become a member of our team please write in with a full resume, stating your present and expected salary, and enclosing a recent photograph to the address below: Euro Creations Plc. Contact: Human Resources Department 1050 Soi Sukhumvit 66/1, Sukhumvit Road, Bangjak, Phrakanong, Bangkok 10260 Tel : 02-744-9624-5 Fax : 02-744-9731 mb. 0854844943 Line ID: 0854844943 Website: www.eurocreations.co.th [link removed]"
HR Officer,"PMG Integrated Communications (Thailand) Co., Ltd.","Sathon, Bangkok",Administrative Assistants,Full time,,,"Looking for a challenging role in talent acquisition or human resources? This opportunity offers the chance to elevate your career by steering employee engagement and guiding high-performing teams. The ideal candidate brings a comprehensive understanding of HR, focusing on delivering HR services and exhibiting excellent English communication skills. Key Responsibilities (not limited to): Oversee diverse HR functions : manage HR initiatives spanning recruitment, compensation, benefits, training, and employee relations. Drive recruitment efforts : craft job descriptions, oversee advertisements, and manage the hiring process actively. Uphold HR policies : ensure consistent administration aligned with business conduct and ethics codes. Support employees: provide guidance on policies, address concerns, and aid in performance management. Data management: compile monthly reports on HR metrics like hiring, retention, and employee engagement. Process facilitation: assist in performance management, disciplinary actions, and grievance resolution. Record maintenance: manage employee records in compliance with policy and legal requirements. Group initiatives: participate in company-wide initiatives and handle varied tasks as assigned. Requirements: Minimum in Bachelor’s degree in any relevant area, preferably in HR Management Proven HR experience 5 years Proficiency in HR functions (pay & benefits, recruitment, training & development, etc.) Familiarity with labor laws and disciplinary procedures Strong MS Office skills especially PowerPoint and Excel Exceptional organizational and time-management capabilities. Excellent communication skills in English, both written and verbal. Problem-solving and decision-making abilities.-  Strong ethical values and reliability. PMG Integrated Communications (Thailand) Co., Ltd. 152 Chartered Square Building, 18th Floor, Unit 18 - 05 North Sathon Road, Silom, Bangrak, Bangkok, 10500 Website : www.pmgasia.com [link removed]"
Personal Assistant to CEO,Areeya Property Public Company Limited,"Wang Thonglang, Bangkok","PA, EA & Secretarial",Full time,,,"Responsibilities Maintaining executive’s agenda and assist in planning appointments, board meetings, conferences etc. Receiving and screening phone calls and redirect them when appropriate Making travel arrangements and work schedules for executives Conducting research and preparing presentations or reports as assigned Performing all-round personal assistant duties including managing day-to-day operations, and scheduling appointments Coordinating with internal departments as well as external parties Organizing ad-hoc events Qualification Bachelor’s Degree from Business Administration, Arts, English, Chinese ,  Secretarial or relates fields Good English and Chinese literacy ( specially writing and speaking ) Must have own vehicle. Flexible and mature approach with ability to work unsupervised Bright and smart personality Able to work independently Good computer literacy especially Microsoft PowerPoint and Excel Good communication and interpersonal skills Proven ability to work under pressure and to tight deadlines Welfare & Benefits: Performance Bonus Provident Fund Group Insurance Dental Insurance Real Estate Purchase Discount Annual Health Checkup Buffet lunch at canteen Massage Therapy Maternity Allowance Hospital Gift Basket Funeral Allowance Housing Loan Nursing Room / Doctor / Nurse"
Customer Service ประจำโรงเรียนภาษาอังกฤษ มอร์ติเมอร์ อิงลิช คลับ สาขา The...,"HappyTAIT International Co., Ltd.","Bang Kapi, Bangkok",Administrative Assistants,Full time,13000,15999,Customer Service ประจำโรงเรียนภาษาอังกฤษ มอร์ติเมอร์ อิงลิช คลับ สาขา The Mall บางกะปิ / The Crystal ราชพฤกษ์ เวลาทำงาน ทุกวันอังคาร - วันอาทิตย์ 9.00-18.00น (หยุดทุกวันจันทร์) รายละเอียดงาน ประสานงาน และติดต่อให้ข้อมูลหลักสูตรคอร์สเรียนแก่ผู้ปกครองนักเรียน ดูแลความเรียบร้อยของสถาบัน นักเรียนและผู้ปกครองระหว่างใช้บริการ ดูแลระบบการทำเอกสารด้านต่างๆ และจัดเก็บเอกสารตามระบบที่กำหนดไว้ มีความรับผิดชอบแก้ไขปัญหาการบริการ และตอบคำถามของลูกค้าอย่างเต็มที่ ดูแลและบำรุงรักษาอุปกรณ์การเรียนการสอน และเครื่องใช้สำนักงาน รับผิดชอบงานอื่น ๆ ตามที่ได้รับมอบหมาย สวัสดิการ ชุดฟอร์มพนักงาน วันหยุดประจำปี ประกันอุบัติเหตุ ประกันสังคม โบนัสประจำปี กิจกรรมงานสันทนาการประจำปี คุณสมบัติผู้สมัคร เพศหญิง จบการศึกษาปริญญาตรีขึ้นไป ทุกสาขา มีทักษะการสื่อสาร เจรจา และมนุษย์สัมพันธ์ดี มีทักษะภาษาอังกฤษในระดับดี มีใจรักในการขายและบริการลูกค้า มีทักษะในการดูแลเด็กปฐมวัย รักเด็ก เข้าใจเด็ก ใช้โปรแกรมตกแต่งรูป และ Photoshop ตัดต่อรูป/วิดีโอพื้นฐานได้ดี มอร์ติเมอร์ อิงลิช คลับ เป็นโรงเรียนสอนภาษาอังกฤษสำหรับเด็กอายุตั้งแต่ 1- 13 ปี ด้วยหลักสูตรจากประเทศเยอรมนีที่ได้รับการยอมรับเป็นอันดับ 1 ในยุโรป เน้นกระตุ้นให้เด็กพูดฟัง กล้าสื่อสาร พัฒนาการอ่านเขียน และสนุกกับการเรียนภาษาอังกฤษอย่างเป็นธรรมชาติ https://www.facebook.com/MortimerThailand https://www.mortimerthailand.com
